"id";"name";"paymentmodeid";"startdate";"enddate";"active";"year";"created_at";"updated_at"
4;"2021 JAN 2ND";2;"2021-01-13";"2021-01-27";0;2021;"2021-09-14 14:11:01.370190";"2021-09-14 14:13:52.249961"
5;"2021 FEB 1ST";2;"2021-01-28";"2021-02-12";0;2021;"2021-09-14 14:14:11.545451";"2021-09-14 14:14:16.579135"
6;"2021 FEB 2ND";2;"2021-02-13";"2021-02-24";0;2021;"2021-09-14 14:14:57.110147";"2021-09-14 14:15:01.188574"
7;"2021 MAR 1ST";2;"2021-02-25";"2021-03-12";0;2021;"2021-09-14 14:15:50.400652";"2021-09-14 14:17:05.622682"
9;"2021 MAR 2ND";2;"2021-03-13";"2021-03-27";0;2021;"2021-09-14 14:18:21.407659";"2021-09-14 14:18:57.305123"
10;"2021 APR 1ST";2;"2021-03-28";"2021-04-13";0;2021;"2021-09-14 14:22:41.713536";"2021-09-14 14:23:57.274065"
11;"2021 APR 2ND";2;"2021-04-14";"2021-04-28";0;2021;"2021-09-14 14:23:53.689593";"2021-09-14 14:23:53.689593"
13;"2021 APR 2ND";2;"2021-04-14";"2021-04-28";0;2021;"2021-09-14 14:25:02.126524";"2021-09-14 14:25:05.737792"
14;"2021 MAY 1ST";2;"2021-04-29";"2021-05-12";0;2021;"2021-09-14 14:25:45.383541";"2021-09-14 14:25:45.383541"
15;"2021 MAY 2ND";2;"2021-05-13";"2021-05-28";0;2021;"2021-09-14 14:26:20.106759";"2021-09-14 14:26:20.106759"
16;"2021 JUN 1ST";2;"2021-05-29";"2021-06-12";0;2021;"2021-09-14 14:26:49.292102";"2021-09-14 14:26:49.292102"
17;"2021 JUN 2ND";2;"2021-06-13";"2021-06-28";0;2021;"2021-09-14 14:27:14.792102";"2021-09-14 14:27:14.792102"
18;"2021 JUL 1ST ";2;"2021-06-29";"2021-07-13";0;2021;"2021-09-14 14:27:55.035143";"2021-09-14 14:27:55.035143"
19;"2021 JUL 2ND";2;"2021-07-14";"2021-07-28";0;2021;"2021-09-14 14:28:19.095302";"2021-09-14 14:28:19.095302"
